id,artist,title,price,label,labelnum,quantity,pic,created_at,updated_at
68,CAROLE KING,HER GREATEST HITS (180 GRAM VINYL),10.5,ODE,736419,1,,,
69,CARS,GREATEST HITS,10,ELEKT,60464,1,,,
70,CASEY BILL WELDON / KOKOMO ARNOLD (CRUMB),BOTTLENECK GUITAR TREND SETTERS OF THE 1930'S (180,10,YAZ,1049,1,,,
71,CHAMPION JACK DUPREE,BLUES FROM THE GUTTER,10.5,ATL,8019,1,,,
72,CHAMPION JACK DUPREE,BLUES FROM THE GUTTER (COLOR),11.5,ATL,8019C,1,,,
73,CHAMPION JACK DUPREE,BLUES FROM THE GUTTER (180 GRAM),12.5,ATL,8019H,1,,,
74,CHARLES MINGUS,MINGUS AH UM (180 GRAM VINYL),13,COLUM,8171,1,,,
75,CHARLEY PATTON,FOUNDER OF THE DELTA BLUES (180 GRAM - 2 LP'S),15,YAZ,1020,1,,,
76,CRASH CREW,CRASH CREW,7,SUH,9123,1,,,
77,CREAM (MONO),DISRAELI GEARS (180 GRAM),15.5,REACT,140,1,,,
78,CRIBS,"MEN'S NEEDS, WOMAN'S NEEDS, WHATEVER",10,WB,49959,1,,,
79,CURTIS MAYFIELD,BACK TO THE WORLD,10.5,CRTM,8015,1,,,
80,CURTIS MAYFIELD,BACK TO THE WORLD (COLOR),11.5,CRTM,8015C,1,,,
81,CURTIS MAYFIELD,BACK TO THE WORLD (180 GRAM),12.5,CRTM,8015H,1,,,
82,CURTIS MAYFIELD,CURTIS,10.5,CRTM,8005,1,,,
83,CURTIS MAYFIELD,ROOTS ,10.5,CRTM,8009,1,,,
84,CURTIS MAYFIELD,ROOTS (COLORED VINYL),11.5,CRTM,8009C,1,,,
85,CURTIS MAYFIELD,ROOTS (180 GRAM) ,12.5,CRTM,8009H,1,,,
86,CURTIS MAYFIELD,ROOTS (180 GRAM COLOR),13.5,CRTM,8009HC,1,,,
87,CYMANDE,CYMANDE,8,JANUS,3044,1,,,
88,CYMANDE,CYMANDE (COLOR),9,JANUS,3044C,1,,,
89,CYMANDE,CYMANDE (180 GRAM),9,JANUS,3044H,1,,,
90,CYMANDE,SECOND TIME AROUND,8,JANUS,3054,1,,,
91,CYMANDE,SECOND TIME AROUND (COLOR),9,JANUS,3054C,1,,,
92,D.R. HOOKER,THE TRUTH (180 GRAM),8,ONREC,1029,1,,,
93,DAVE BRUBECK,DAVE BRUBECK'S GREATEST HITS (180 GRAM),12.5,COLUM,9284,1,,,
94,DAVID LEE ROTH,SKYSCRAPER,6,WB,25671,1,,,
95,DELANEY & BONNIE & FRIENDS,ON TOUR WITH ERIC CLAPTON (HQ - 180 GRAM VINYL),9.5,ATL,33326,1,,,
96,DENNY LANE,WITH PAUL MCCARTNEY,8,PRESI,135,1,,,
97,DOLEMITE - SOUNDTRACK,RUDY RAY MOORE,6.5,GENE,2501,1,,,
98,DOLLAR BRAND (ABDULLAH IBRAHIM),THE JOURNEY (DON CHERRY),7.5,CHIRS,187,1,,,
99,DON BYRD - GIGI GRYCE,JAZZ LAB (180 GRAM),9,COLUM,998H,1,,,
100,DON HENLEY (EAGLES),I CAN'T STAND STILL (DIRTY LAUNDRY),6.5,EA,60048,1,,,
101,DONNA SUMMER,THE WANDERER,6,GEF,2000,1,,,
102,DR. JOHN,THE SUN MOON & HERBS (COLORED VINYL),11.5,ATCO,33362C,1,,,
103,DRAGONFORCE,ULTRA BEATDOWN,6,ROAD,179371,1,,,
104,DWEEZIL ZAPPA,MY GUITAR WANTS TO KILL YOUR MAMA,6,CRYS,1633,1,,,
105,ELECTRIC PRUNES,I HAD TOO MUCH TO DREAM LAST NIGHT,10.5,REPR,6248,1,,,
106,ELECTRIC PRUNES,I HAD TOO MUCH TO DREAM LAST NIGHT (COLOR),11.5,REPR,6248C,1,,,
107,ELECTRIC PRUNES,I HAD TOO MUCH TO DREAM LAST NIGHT (180 GRAM),12.5,REPR,6248H,1,,,
108,ELVIN JONES (FEAT. MCCOY TYNER),ILLUMINATON (180 GRAM PRESSING),11.5,IMPL,49,1,,,
